疫情地区,新增,现有,累计,治愈,死亡
香港,24,694,914,216,4
湖北,0,518,67803,64073,3212
台湾,10,311,373,57,5
上海,2,143,538,389,6
北京,0,131,587,448,8
广东,1,124,1533,1401,8
黑龙江,20,62,544,469,13
内蒙古,3,46,121,74,1
福建,1,45,351,305,1
浙江,1,34,1265,1230,1
澳门,0,34,44,10,0
天津,0,26,180,151,3
山东,1,19,781,755,7
江苏,0,18,651,633,0
四川,1,16,560,541,3
辽宁,2,12,144,130,2
河北,0,9,327,312,6
云南,0,9,184,173,2
陕西,0,7,256,246,3
甘肃,0,5,139,132,2
山西,0,5,138,133,0
吉林,0,5,98,92,1
重庆,0,3,579,570,6
河南,0,2,1276,1252,22
湖南,0,1,1019,1014,4
江西,0,1,937,935,1
贵州,0,1,147,144,2
安徽,0,0,990,984,6
广西,0,0,254,252,2
海南,0,0,168,162,6
新疆,0,0,76,73,3
宁夏,0,0,75,75,0
青海,0,0,18,18,0
西藏,0,0,1,1,0